Epoch,Train Loss,Val Loss,Pixel Accuracy,Mean IoU,mAP
1,1.1572879808797514,1.049304527895791,0.6151835305350167,0.1154484135189758,0.20785473205767185
2,1.0337328901347773,0.9903484404087066,0.6222191674368722,0.11183014027970073,0.17501190543525139
3,0.978668270599297,0.9284231194428035,0.6820407458714076,0.14596212050267873,0.22765325156440763
4,0.9254920932929037,0.8853660311017718,0.7092648233686175,0.16984260108628937,0.2526748147576929
5,0.8904764201958658,0.8719839777265276,0.724565669468471,0.17488877419361773,0.25378552496539425
6,0.8626413678317136,0.8728097643171038,0.7351324490138462,0.1885601031992347,0.2665729497140807
7,0.8409957045589243,0.8399298259190151,0.7432607514517647,0.20169860484602248,0.2712916465480201
8,0.8184431389596306,0.8182863507952008,0.7214363915579659,0.18654969038450733,0.27269700597504015
9,0.8037744016343983,0.7815058546406882,0.7340846470424107,0.2033763224324474,0.2959229378611449
10,0.7856068357558658,0.7546959183045796,0.7377020290919712,0.21437602247277313,0.32649781395722705
11,0.7749850105338731,0.7390254365546363,0.7423125267028808,0.2224594524982147,0.33763492793091027
12,0.7567074232499594,0.730984833410808,0.7572176797049386,0.237039117870713,0.33642360232408136
13,0.7487902541165323,0.7027855681521552,0.7645056997026716,0.23633181481405502,0.34539268355507163
14,0.7387436623009251,0.7179218786103385,0.7490621839250837,0.23907523025514069,0.32742547659814714
15,0.71838184527564,0.692574092745781,0.798888669695173,0.2649066325643984,0.3651255617296565
16,0.7094840013364674,0.6661312081984111,0.7800012043544224,0.2539450360063174,0.37202519365162845
17,0.7060149114127188,0.6650024678025926,0.7608888489859444,0.24973176885679962,0.3507880864029286
18,0.6941340906956561,0.709678681407656,0.7573042597089495,0.24701266475700728,0.35710261235238655
19,0.6883425216670065,0.6877170660666057,0.7438499450683593,0.23243048386689144,0.34820919443736226
20,0.6772030741272579,0.6274655256952558,0.7810263088771275,0.2748304675311791,0.3756420263135465
21,0.6629448998756484,0.6851188987493515,0.7944629260471889,0.2650596189515606,0.3738175240834647
22,0.6643898454504032,0.6327440862144743,0.780976254599435,0.26295021027738236,0.3971965004052476
23,0.6500562793810373,0.6734592778342111,0.7677124568394252,0.25189723804421943,0.3757012933971675
24,0.6459490868372187,0.6124628032956805,0.7610201290675572,0.26239865574772736,0.38190526713437495
25,0.6441597854996296,0.6191085308790207,0.7868444170270648,0.27174959613008437,0.3977606580396403
26,0.636568150984838,0.605378606063979,0.7999109949384416,0.2721803605146335,0.3977905623134565
27,0.627853749168085,0.5912287609917777,0.7896883692060198,0.2769590987905896,0.3810967355343873
28,0.6155752584664058,0.6007673817021506,0.7968732016427177,0.2802315494488319,0.409432787846778
29,0.6158578652984816,0.6160132076059069,0.7819280896868025,0.27954300200094395,0.4151436252319119
30,0.6071432747139371,0.560685527750424,0.8144938060215541,0.2984466539423031,0.40157616515463246
31,0.5959710315255,0.5739233855690274,0.8227709633963448,0.30090689735749665,0.4140066381149424
32,0.6005159804882634,0.5795684878315245,0.7920091356549944,0.28625204158683537,0.3932229555680958
33,0.5839830170094849,0.562883603147098,0.7855204582214356,0.28626140144760776,0.38304333042361643
34,0.5833711208216475,0.568073826602527,0.8027175085885184,0.2866992949346971,0.3984770904475663
35,0.5865621422797027,0.5436247399875096,0.8206480298723493,0.30864894173148816,0.4075412660763451
36,0.577017043148784,0.556066501566342,0.8046723365783691,0.29273891284410175,0.4102807879709799
37,0.5697623575421025,0.5613377907446453,0.7811228207179478,0.2895160009827596,0.3933813947265184
38,0.5577153856782743,0.5295958382742746,0.8057350567408971,0.29953756229410866,0.40603542844981566
39,0.5584154171095217,0.5380860656499863,0.811561747959682,0.2991678726171111,0.4128927736749063
40,0.562772566945131,0.5634087949991227,0.7824340275355748,0.2763328557139184,0.3729495205076914
41,0.5536708796237619,0.5448892367737633,0.8075900486537388,0.2985630034758969,0.42506595646052725
42,0.5449652185378444,0.5505902145590101,0.7895668029785157,0.2896599986988665,0.41895433282477307
43,0.5486421617077549,0.5739603174584252,0.8120419774736677,0.29548135053223207,0.41585527322464977
44,0.5392019021108184,0.518625773702349,0.8191663742065429,0.30988474207481925,0.4284743751718204
45,0.5354491796929604,0.5333534053393773,0.8203982625688825,0.3089111218629898,0.4170486448352063
46,0.5365048861408802,0.517717074070658,0.8190306118556432,0.31322320506133666,0.42991496171850807
47,0.519671964834983,0.5466887571981975,0.8030058315822056,0.29907889741159877,0.39784510208057666
48,0.5201244397499927,0.515042781829834,0.8304399626595633,0.3195762705591081,0.4259659860505015
49,0.5346988166421356,0.508866873383522,0.8231495720999581,0.3143134849605654,0.42288282074810396
50,0.538764485071004,0.5282289628471647,0.8041110719953265,0.30343776609023476,0.39988287739923656
