epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4871.98,1.4168,1.53556,1.28178,0.46709,0.36513,0.34398,0.19968,1.37265,1.49213,1.24084,0.00079705,0.00079705,0.00079705
43,4987.85,1.41879,1.53558,1.28198,0.46491,0.36095,0.34192,0.19961,1.3688,1.49226,1.23771,0.0007921,0.0007921,0.0007921
44,5103.38,1.41805,1.53051,1.27807,0.47527,0.35843,0.34273,0.20072,1.36939,1.48472,1.23937,0.00078715,0.00078715,0.00078715
45,5219.25,1.41328,1.52438,1.27666,0.47046,0.36132,0.34134,0.20012,1.36589,1.48412,1.24028,0.0007822,0.0007822,0.0007822
46,5334.62,1.41425,1.52464,1.27768,0.46626,0.36466,0.34382,0.19978,1.37038,1.48412,1.24018,0.00077725,0.00077725,0.00077725
47,5450.48,1.40607,1.51599,1.27072,0.47905,0.36048,0.34422,0.20039,1.36623,1.48209,1.23544,0.0007723,0.0007723,0.0007723
48,5566.18,1.40912,1.51767,1.2744,0.46856,0.36909,0.34412,0.20082,1.36284,1.4767,1.23743,0.00076735,0.00076735,0.00076735
49,5681.92,1.40787,1.51464,1.27351,0.47916,0.36382,0.34691,0.20401,1.36058,1.47211,1.23343,0.0007624,0.0007624,0.0007624
50,5797.68,1.40792,1.51444,1.27343,0.46943,0.37044,0.34701,0.20276,1.36336,1.47174,1.23702,0.00075745,0.00075745,0.00075745
51,5912.98,1.40007,1.50587,1.26854,0.4683,0.36798,0.3459,0.20306,1.36072,1.46583,1.23152,0.0007525,0.0007525,0.0007525
52,6028.75,1.39917,1.50274,1.26685,0.47111,0.36997,0.3468,0.20331,1.35946,1.46571,1.23407,0.00074755,0.00074755,0.00074755
53,6144.21,1.39331,1.49594,1.26467,0.47154,0.36842,0.34646,0.20338,1.35656,1.46269,1.23155,0.0007426,0.0007426,0.0007426
54,6259.48,1.3949,1.49804,1.26472,0.4701,0.37039,0.34755,0.2044,1.35634,1.46113,1.22804,0.00073765,0.00073765,0.00073765
55,6375.18,1.3949,1.49764,1.2664,0.46826,0.37142,0.34818,0.20477,1.35461,1.45756,1.22771,0.0007327,0.0007327,0.0007327
56,6490.37,1.3927,1.49527,1.26313,0.46994,0.37471,0.35087,0.20584,1.35028,1.45781,1.22657,0.00072775,0.00072775,0.00072775
57,6605.77,1.38643,1.48485,1.25625,0.47366,0.37163,0.35027,0.20531,1.35544,1.45749,1.22759,0.0007228,0.0007228,0.0007228
58,6721.18,1.38819,1.48498,1.25845,0.47747,0.37418,0.35338,0.20766,1.34962,1.45367,1.22646,0.00071785,0.00071785,0.00071785
59,6836.67,1.38374,1.48322,1.25986,0.46772,0.37666,0.3526,0.20718,1.34867,1.44913,1.22562,0.0007129,0.0007129,0.0007129
60,6952.27,1.38429,1.48321,1.2554,0.47304,0.37375,0.35011,0.20607,1.34712,1.4494,1.22177,0.00070795,0.00070795,0.00070795
61,7067.74,1.37581,1.47483,1.256,0.47389,0.37391,0.35139,0.20646,1.34917,1.44966,1.22521,0.000703,0.000703,0.000703
62,7183.32,1.38226,1.4815,1.25346,0.48136,0.36994,0.35266,0.20684,1.34594,1.45134,1.2213,0.00069805,0.00069805,0.00069805
63,7298.67,1.38112,1.46932,1.25211,0.48267,0.37535,0.35573,0.20891,1.34702,1.44783,1.22069,0.0006931,0.0006931,0.0006931
64,7414.18,1.37537,1.47175,1.25281,0.48011,0.37395,0.35436,0.20865,1.34527,1.44551,1.22064,0.00068815,0.00068815,0.00068815
65,7529.77,1.38069,1.47246,1.25337,0.48012,0.37682,0.35531,0.2091,1.34409,1.44628,1.21965,0.0006832,0.0006832,0.0006832
66,7645.41,1.37532,1.47312,1.24936,0.4782,0.37617,0.35514,0.20889,1.34227,1.4429,1.21915,0.00067825,0.00067825,0.00067825
67,7761.11,1.36749,1.46064,1.24871,0.47962,0.37854,0.35696,0.21013,1.34069,1.44258,1.21966,0.0006733,0.0006733,0.0006733
68,7877.47,1.37062,1.45824,1.24532,0.48136,0.37917,0.35732,0.2107,1.34041,1.44155,1.21835,0.00066835,0.00066835,0.00066835
69,7993.86,1.37978,1.46645,1.25031,0.48838,0.37366,0.35859,0.21101,1.33758,1.43955,1.21818,0.0006634,0.0006634,0.0006634
70,8110.03,1.36756,1.46094,1.24763,0.48271,0.37712,0.35862,0.21094,1.33744,1.43998,1.21645,0.00065845,0.00065845,0.00065845
71,8226.3,1.36586,1.45903,1.24405,0.48135,0.38093,0.35867,0.21018,1.33921,1.43981,1.21785,0.0006535,0.0006535,0.0006535
72,8342.42,1.36411,1.46078,1.24659,0.48552,0.37749,0.35771,0.211,1.33668,1.4388,1.21625,0.00064855,0.00064855,0.00064855
73,8458.34,1.35941,1.44802,1.24242,0.48503,0.37845,0.35874,0.21071,1.33813,1.43797,1.21652,0.0006436,0.0006436,0.0006436
74,8574.51,1.36729,1.44916,1.24104,0.48981,0.37798,0.35889,0.21082,1.33819,1.437,1.21562,0.00063865,0.00063865,0.00063865
75,8690.25,1.36191,1.44866,1.24301,0.48852,0.37669,0.35961,0.21132,1.33671,1.43583,1.21448,0.0006337,0.0006337,0.0006337
